Date,Time,Product,ISIN,Reference,Venue,Quantity,Price,,Local value,,Value,,Exchange rate,Transaction and/or third,,Total,,Order ID
18-11-2021,15:30,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,XNAS,1,206.2600,USD,-206.26,USD,-181.90,EUR,1.1328,-0.50,EUR,-182.40,EUR,c5f82c79-b966-412a-bdbe-08363e125b4e
13-08-2021,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,8,148.9900,USD,-1191.92,USD,-1012.68,EUR,1.1758,-0.53,EUR,-1013.21,EUR,83ddfa4b-1787-4f32-a13c-e30af6b907a6
12-08-2021,15:30,META PLATFORMS INC,US30303M1027,NDQ,XNAS,5,358.7300,USD,-1793.65,USD,-1528.72,EUR,1.1721,-0.52,EUR,-1529.24,EUR,c13576de-c79f-4a3d-a988-889801300ba0
12-08-2021,15:30,COCA-COLA COMPANY (THE,US1912161007,NSY,XNYS,20,56.7300,USD,-1134.60,USD,-967.02,EUR,1.1721,-0.57,EUR,-967.59,EUR,cbfebf9d-6a2d-42ed-9a01-8a457bd537a4
12-08-2021,15:30,VISA INC.,US92826C8394,NSY,XNYS,5,233.8900,USD,-1169.45,USD,-996.72,EUR,1.1721,-0.52,EUR,-997.24,EUR,239a5ee6-463d-40a7-8b1e-838e27a2064c
12-08-2021,14:07,ISHARES MSCI WORLD SMALL CAP UCITS ETF USD ACC,IE00BF4RFH31,XET,XETA,720,6.2940,EUR,-4531.68,EUR,-4531.68,EUR,,,,-4531.68,EUR,ee42096a-09e9-418f-902f-59f0e6a69dfb
26-07-2021,00:00,TEMPLETON EMRG.,GB00BKPG0S09,LSE,,3600,195.2000,GBX,-702720.00,GBX,-8211.28,EUR,85.5798,,,-8211.28,EUR,
26-07-2021,00:00,TEMPLETON EMRG.,GB0008829292,LSE,,-720,976.0000,GBX,702720.00,GBX,8211.28,EUR,85.5798,,,8211.28,EUR,
19-07-2021,21:59,ALIBABA GROUP HOLDING,US01609W1027,NSY,XNYS,1,209.0000,USD,-209.00,USD,-177.16,EUR,1.1785,-0.50,EUR,-177.66,EUR,64e8187c-0dff-435c-85c8-0379424b3d4b
29-06-2021,09:04,ISHARES MSCI EM ASIA UCITS ETF USD (ACC),IE00B5L8K969,XET,XETA,5,176.9000,EUR,-884.50,EUR,-884.50,EUR,,-2.27,EUR,-886.77,EUR,d3510790-2d7a-42e4-87cb-6bf65b5272ac
29-06-2021,09:04,ISHARES CORE GLB AG BO,IE00BDBRDM35,MIL,MTAA,1,5.2650,EUR,-5.27,EUR,-5.27,EUR,,,,-5.27,EUR,1c57d0b3-4052-4fde-b318-44eff240a9b4
29-06-2021,09:04,ISHARES CORE GLB AG BO,IE00BDBRDM35,MIL,MTAA,188,5.2650,EUR,-989.82,EUR,-989.82,EUR,,-2.30,EUR,-992.12,EUR,1c57d0b3-4052-4fde-b318-44eff240a9b4
28-06-2021,15:30,CISCO SYSTEMS INC. -,US17275R1023,NDQ,XNAS,-43,53.1600,USD,2285.88,USD,1913.69,EUR,1.1933,-0.64,EUR,1913.05,EUR,a83a985c-0834-4dca-b2c8-9249d4a2c6b9
28-06-2021,14:47,ISHARES COREMSCIPACIFIC EX-JAPANUCITS ETF USD(ACC),IE00B52MJY50,XET,XETA,40,154.3400,EUR,-6173.60,EUR,-6173.60,EUR,,-1.85,EUR,-6175.45,EUR,59a3d524-2ecf-427f-8b5c-48a64c35ee40
28-06-2021,14:46,ISHARES COREMSCIPACIFIC EX-JAPANUCITS ETF USD(ACC),IE00B52MJY50,XET,XETA,2,154.3400,EUR,-308.68,EUR,-308.68,EUR,,-2.09,EUR,-310.77,EUR,59a3d524-2ecf-427f-8b5c-48a64c35ee40
28-06-2021,14:37,BAYERISCHE MOTOREN WERKE AG,DE0005190003,XET,XETA,-32,91.5000,EUR,2928.00,EUR,2928.00,EUR,,-5.46,EUR,2922.54,EUR,600ed0c5-d402-4f72-9f21-d8f24e3ec58b
